GeneID	Chromosome	Chromosome start	Type of variation	cor
GRMZM2G044882	chr4	139102128	DownCNV/PAV	0.882123339
GRMZM2G144398	chr4	141436078	DownCNV/PAV	0.6455179
GRMZM2G089599	chr4	141795899	DownCNV/PAV	0.758199567
GRMZM2G460360	chr4	142351712	DownCNV/PAV	0.888475272
GRMZM2G340353	chr4	143717681	DownCNV/PAV	0.718754092
GRMZM2G461537	chr4	144433905	DownCNV/PAV	0.649190547
GRMZM2G157458	chr4	145260007	DownCNV/PAV	0.871022366
GRMZM2G458659	chr4	146370237	DownCNV/PAV	0.726999086
GRMZM2G143669	chr4	146579297	DownCNV/PAV	0.550850682
GRMZM2G404121	chr4	147616457	DownCNV/PAV	0.603544076
GRMZM2G435104	chr4	148489982	DownCNV/PAV	
GRMZM2G096996	chr4	148717145	DownCNV/PAV	0.862611171
GRMZM2G180775	chr4	148958687	DownCNV/PAV	0.884902848
GRMZM2G393843	chr4	150039524	DownCNV/PAV	
AC190632.2_FG004	chr4	150630146	DownCNV/PAV	0.863123703
GRMZM2G150710	chr4	150866002	UpCNV	0.707311978
GRMZM2G150714	chr4	150870435	DownCNV/PAV	0.857401771
GRMZM2G048621	chr4	151201040	DownCNV/PAV	0.883400513
GRMZM2G702621	chr4	151709915	DownCNV/PAV	0.786357657
GRMZM2G102502	chr4	151905337	DownCNV/PAV	0.922436382
GRMZM2G342649	chr4	151965591	DownCNV/PAV	0.722226168
GRMZM2G406313	chr4	152093874	DownCNV/PAV	0.877871362
GRMZM2G346634	chr4	152162788	DownCNV/PAV	0.803013834
GRMZM2G347994	chr4	153114588	DownCNV/PAV	0.741932276
GRMZM2G073770	chr4	153382530	DownCNV/PAV	0.860683013
GRMZM2G144158	chr4	154069588	DownCNV/PAV	0.646450741
GRMZM2G044627	chr4	155043442	DownCNV/PAV	0.882314076
GRMZM2G134072	chr4	155322158	DownCNV/PAV	0.59735579
GRMZM2G003953	chr4	155684374	DownCNV/PAV	0.783090599
GRMZM2G112956	chr4	155886592	UpCNV	0.166120502
GRMZM2G112030	chr4	155917215	Both	0.08885408
GRMZM2G164098	chr4	155947998	DownCNV/PAV	0.755496029
GRMZM2G059339	chr4	156850774	DownCNV/PAV	0.717488631
GRMZM2G070865	chr4	157039336	DownCNV/PAV	0.816472025
AC184172.3_FG001	chr4	157380555	DownCNV/PAV	0.669085507
GRMZM2G048752	chr4	157833553	UpCNV	
GRMZM2G053071	chr4	158013547	DownCNV/PAV	0.734393507
GRMZM2G110439	chr4	159273984	DownCNV/PAV	
GRMZM2G110447	chr4	159281668	DownCNV/PAV	
GRMZM2G156307	chr4	160132548	DownCNV/PAV	0.830611907
GRMZM2G179639	chr4	160953261	DownCNV/PAV	0.852913591
AC190749.3_FG006	chr4	161174185	UpCNV	0.850290747
GRMZM2G365298	chr4	161359125	DownCNV/PAV	0.87200874
GRMZM2G325589	chr4	161691331	DownCNV/PAV	0.46210383
GRMZM2G118437	chr4	162761771	UpCNV	0.614729511
GRMZM2G061118	chr4	163441917	UpCNV	0.796283237
GRMZM2G524061	chr4	163984315	UpCNV	0.608055009
GRMZM2G469980	chr4	164209282	DownCNV/PAV	0.708130167
GRMZM2G455238	chr4	164221874	DownCNV/PAV	0.538945365
GRMZM2G035419	chr4	164263933	UpCNV	
GRMZM2G332697	chr4	164271311	DownCNV/PAV	0.65222765
GRMZM2G051417	chr4	164300817	DownCNV/PAV	0.703248481
GRMZM2G575116	chr4	164485060	UpCNV	0.759814704
GRMZM2G454184	chr4	164493504	DownCNV/PAV	0.67340034
GRMZM2G319856	chr4	164552414	DownCNV/PAV	
GRMZM2G315558	chr4	164620279	DownCNV/PAV	0.766811412
GRMZM2G461671	chr4	165437634	UpCNV	0.798553915
GRMZM2G063426	chr4	166056282	DownCNV/PAV	0.869257557
GRMZM2G493155	chr4	166372144	DownCNV/PAV	0.650787053
GRMZM2G493160	chr4	166409499	DownCNV/PAV	0.545477441
GRMZM2G098739	chr4	169733084	DownCNV/PAV	0.747330163
GRMZM2G702694	chr4	170151959	DownCNV/PAV	0.429471759
GRMZM2G702697	chr4	170892202	DownCNV/PAV	0.480139863
AC189280.3_FG001	chr4	170935064	DownCNV/PAV	0.625742063
GRMZM2G466532	chr4	170999372	DownCNV/PAV	0.797924516
GRMZM2G129979	chr4	171762228	DownCNV/PAV	0.762618063
GRMZM2G162007	chr4	171925727	DownCNV/PAV	0.860504226
GRMZM2G108712	chr4	172124372	DownCNV/PAV	0.90514646
GRMZM2G479330	chr4	172388839	DownCNV/PAV	0.853853982
GRMZM2G411746	chr4	172845192	UpCNV	0.868904996
GRMZM2G332225	chr4	173808564	DownCNV/PAV	0.903622765
GRMZM2G428188	chr4	175245731	DownCNV/PAV	0.853966769
GRMZM2G150153	chr4	177372662	UpCNV	0.897367633
GRMZM2G459590	chr4	177381920	UpCNV	0.885574377
GRMZM2G473016	chr4	177554679	DownCNV/PAV	0.881456165
GRMZM2G015912	chr4	177726820	DownCNV/PAV	0.88649634
GRMZM2G448881	chr4	179327878	DownCNV/PAV	0.636326309
GRMZM2G383920	chr4	179523968	UpCNV	
GRMZM2G702725	chr4	180879040	DownCNV/PAV	0.885434837
GRMZM2G090873	chr4	182714651	DownCNV/PAV	
GRMZM2G388512	chr4	182782359	DownCNV/PAV	
GRMZM2G121905	chr4	183415442	DownCNV/PAV	0.902118688
AC216203.3_FG003	chr4	183507043	DownCNV/PAV	0.570604054
GRMZM2G060322	chr4	183927561	DownCNV/PAV	0.759481046
GRMZM2G350326	chr4	184675205	DownCNV/PAV	0.736680017
GRMZM2G702739	chr4	184767650	DownCNV/PAV	0.574404939
GRMZM2G174782	chr4	184788610	DownCNV/PAV	0.900889074
GRMZM2G057483	chr4	185787496	DownCNV/PAV	0.826084341
GRMZM2G357595	chr4	186026948	DownCNV/PAV	0.923334582
GRMZM2G011968	chr4	187342743	UpCNV	0.879421405
GRMZM2G702743	chr4	193443600	DownCNV/PAV	
GRMZM2G702747	chr4	193447382	DownCNV/PAV	
GRMZM2G702749	chr4	193452097	DownCNV/PAV	
AC185126.3_FG006	chr4	193761128	DownCNV/PAV	0.77455527
GRMZM2G051787	chr4	194045609	DownCNV/PAV	0.82331658
GRMZM2G166218	chr4	194065836	DownCNV/PAV	0.862767999
GRMZM2G143886	chr4	194390142	DownCNV/PAV	0.470502786
GRMZM2G401874	chr4	194903370	UpCNV	0.445518439
GRMZM2G316553	chr4	194941140	DownCNV/PAV	0.351829829
GRMZM2G350177	chr4	194983446	DownCNV/PAV	0.675002231
GRMZM2G152591	chr4	195715209	DownCNV/PAV	0.894777355
GRMZM2G098520	chr4	195758709	DownCNV/PAV	0.858379995
GRMZM2G123355	chr4	196751240	DownCNV/PAV	0.87392729
GRMZM2G702755	chr4	196825443	DownCNV/PAV	0.718187834
GRMZM2G366981	chr4	197109489	UpCNV	0.894475327
GRMZM2G067767	chr4	197131769	DownCNV/PAV	0.76059351
GRMZM2G109489	chr4	197138101	DownCNV/PAV	
GRMZM2G065323	chr4	197194016	DownCNV/PAV	0.640374139
GRMZM2G316585	chr4	197443341	DownCNV/PAV	
GRMZM2G702761	chr4	198002993	DownCNV/PAV	
AC233883.1_FG001	chr4	198870411	DownCNV/PAV	0.654442338
GRMZM2G095363	chr4	199650368	DownCNV/PAV	0.731834105
GRMZM2G450897	chr4	199722001	Both	0.752312353
GRMZM2G702767	chr4	200468508	DownCNV/PAV	0.715504184
GRMZM2G702773	chr4	201017536	DownCNV/PAV	
GRMZM2G379271	chr4	201073480	Both	0.697943482
GRMZM2G149836	chr4	201349943	DownCNV/PAV	0.698910524
GRMZM2G163740	chr4	201929509	DownCNV/PAV	0.706252632
GRMZM2G348480	chr4	203412838	DownCNV/PAV	0.675951158
GRMZM2G034947	chr4	204611957	DownCNV/PAV	0.858553901
GRMZM2G330455	chr4	204626104	DownCNV/PAV	0.847781818
GRMZM2G129448	chr4	205183892	DownCNV/PAV	0.922741507
GRMZM2G702783	chr4	205232742	DownCNV/PAV	0.674355261
GRMZM2G419782	chr4	206503845	DownCNV/PAV	0.670835381
GRMZM2G309316	chr4	206793310	DownCNV/PAV	0.630093247
AC209971.4_FG003	chr4	207555127	DownCNV/PAV	0.698090901
GRMZM2G014537	chr4	210889058	UpCNV	0.900623629
GRMZM2G046009	chr4	211685128	DownCNV/PAV	0.531098758
GRMZM2G060898	chr4	213860276	UpCNV	0.56287242
AC196278.2_FG005	chr4	214031045	DownCNV/PAV	0.894575604
GRMZM2G702798	chr4	214438966	DownCNV/PAV	0.841403475
GRMZM2G130256	chr4	215229290	DownCNV/PAV	0.84964699
AC212343.3_FG002	chr4	215668523	DownCNV/PAV	
GRMZM2G347339	chr4	217508209	DownCNV/PAV	0.658310021
GRMZM2G169658	chr4	219353240	DownCNV/PAV	0.876963846
GRMZM2G392314	chr4	222357159	DownCNV/PAV	0.858465094
AC208418.3_FG009	chr4	225120330	DownCNV/PAV	0.495271194
GRMZM2G702814	chr4	225205485	DownCNV/PAV	
GRMZM2G005640	chr4	225242776	DownCNV/PAV	0.58286229
GRMZM2G318057	chr4	225466760	DownCNV/PAV	0.800751597
GRMZM2G028125	chr4	225580271	DownCNV/PAV	
GRMZM2G702824	chr4	226832799	DownCNV/PAV	0.818178597
GRMZM2G118191	chr4	227646301	UpCNV	0.807931199
GRMZM2G039942	chr4	227688867	DownCNV/PAV	0.896549597
GRMZM2G040020	chr4	227697080	DownCNV/PAV	0.631322021
GRMZM2G437270	chr4	227956408	DownCNV/PAV	0.873541282
GRMZM2G337068	chr4	228347374	DownCNV/PAV	0.862813915
GRMZM2G116640	chr4	230346411	DownCNV/PAV	0.83765302
GRMZM2G076665	chr4	231780095	DownCNV/PAV	0.66169956
GRMZM2G398455	chr4	232171392	UpCNV	0.665199718
AC193591.3_FG001	chr4	232394063	DownCNV/PAV	0.857321703
GRMZM2G074122	chr4	232875263	DownCNV/PAV	0.930103851
GRMZM2G702842	chr4	233043246	UpCNV	0.87501827
GRMZM2G702844	chr4	233104878	DownCNV/PAV	
GRMZM2G016936	chr4	233149248	DownCNV/PAV	0.547984713
GRMZM2G452453	chr4	233756967	DownCNV/PAV	0.682937608
GRMZM2G417070	chr4	233778095	DownCNV/PAV	0.72753078
AC226552.2_FG001	chr4	233827516	UpCNV	0.400708771
AC226552.2_FG002	chr4	233830585	UpCNV	0.58565204
GRMZM2G039322	chr4	233950021	DownCNV/PAV	0.77003656
GRMZM2G020249	chr4	234214084	DownCNV/PAV	
GRMZM2G470863	chr4	234658231	DownCNV/PAV	0.842963005
GRMZM2G090328	chr4	234918900	DownCNV/PAV	0.868465866
GRMZM2G040452	chr4	235140262	DownCNV/PAV	0.796905414
GRMZM2G154505	chr4	235342435	DownCNV/PAV	0.872706752
GRMZM2G114427	chr4	235624275	DownCNV/PAV	
AC186310.4_FG004	chr4	236217422	DownCNV/PAV	0.895523698
GRMZM2G380700	chr4	236479665	DownCNV/PAV	0.590850888
GRMZM2G153871	chr4	237304566	DownCNV/PAV	0.632166119
GRMZM2G374255	chr4	238962443	DownCNV/PAV	0.56891313
AC214432.4_FG005	chr4	239499088	DownCNV/PAV	
GRMZM2G336766	chr4	240002001	DownCNV/PAV	0.813736792
GRMZM2G145996	chr4	240071011	DownCNV/PAV	0.887473488
GRMZM2G143522	chr4	240491218	DownCNV/PAV	0.723367602
GRMZM2G168229	chr4	240859856	DownCNV/PAV	0.584138946
GRMZM2G421946	chr4	241000366	DownCNV/PAV	0.720894715
GRMZM2G421911	chr4	241020354	DownCNV/PAV	0.647155961
GRMZM2G163813	chr4	241141543	DownCNV/PAV	0.896081853
GRMZM2G052902	chr4	241171648	DownCNV/PAV	0.837052512
GRMZM2G052948	chr4	241184328	DownCNV/PAV	0.696637976
GRMZM2G702855	chr4	241280056	DownCNV/PAV	0.790221409
GRMZM2G303091	chr4	241300766	DownCNV/PAV	0.762445476
GRMZM2G010333	chr4	241331685	UpCNV	0.803283793
GRMZM2G010097	chr4	241354528	DownCNV/PAV	0.812777917
GRMZM2G115340	chr4	241370815	DownCNV/PAV	
GRMZM2G179248	chr4	241412929	DownCNV/PAV	
GRMZM2G387755	chr4	241469981	UpCNV	
GRMZM2G580389	chr4	241771031	DownCNV/PAV	0.751132689
GRMZM2G041310	chr4	241805800	DownCNV/PAV	0.926452666
GRMZM2G339018	chr4	241815297	DownCNV/PAV	0.713014915
GRMZM2G471304	chr4	241990542	DownCNV/PAV	0.654725518
GRMZM2G168984	chr4	242005927	DownCNV/PAV	0.825816633
GRMZM2G101916	chr4	242343039	DownCNV/PAV	0.797614468
GRMZM2G111319	chr4	242570417	DownCNV/PAV	0.461376774
GRMZM2G303374	chr4	242880262	DownCNV/PAV	0.915141209
GRMZM2G166162	chr4	243062579	DownCNV/PAV	0.926888637
GRMZM2G123515	chr4	243619590	DownCNV/PAV	
GRMZM2G423129	chr4	243975282	DownCNV/PAV	0.783061757
GRMZM2G174669	chr4	243988137	DownCNV/PAV	0.874947454
AC184831.3_FG005	chr4	244101499	DownCNV/PAV	
GRMZM2G436705	chr4	244342108	DownCNV/PAV	
GRMZM2G319875	chr4	244412248	DownCNV/PAV	0.672412891
AC214641.2_FG002	chr4	244563441	DownCNV/PAV	0.586303629
GRMZM2G018614	chr4	244633759	DownCNV/PAV	
AC206780.3_FG004	chr4	244711127	UpCNV	
GRMZM2G324162	chr4	244751473	DownCNV/PAV	
GRMZM2G023399	chr4	244753946	UpCNV	0.727044799
AC205853.3_FG014	chr4	244836034	DownCNV/PAV	0.63516339
GRMZM2G382581	chr4	244980996	UpCNV	
GRMZM2G374074	chr4	245041226	DownCNV/PAV	0.74302619
GRMZM2G094579	chr4	245099644	DownCNV/PAV	0.875082895
GRMZM2G074252	chr4	245262836	DownCNV/PAV	0.862921751
GRMZM2G006234	chr4	245303609	DownCNV/PAV	0.889062143
GRMZM2G155783	chr4	245527492	UpCNV	0.615508227
GRMZM2G417859	chr4	245551302	DownCNV/PAV	0.883619245
GRMZM2G119426	chr4	245555661	DownCNV/PAV	0.895165614
GRMZM2G314882	chr4	245658186	DownCNV/PAV	0.90671904
GRMZM2G415007	chr4	245672138	DownCNV/PAV	0.921322065
GRMZM2G079348	chr4	245737341	DownCNV/PAV	0.871048046
GRMZM2G457630	chr4	245836914	DownCNV/PAV	0.496062815
GRMZM2G130813	chr4	246469723	DownCNV/PAV	0.849975152
AC200117.3_FG004	chr4	246480431	DownCNV/PAV	0.817712381
GRMZM2G054378	chr5	10904	DownCNV/PAV	0.724789199
GRMZM2G356260	chr5	23872	DownCNV/PAV	0.765836473
AC190834.3_FG005	chr5	36016	DownCNV/PAV	0.6876374
GRMZM2G309624	chr5	235423	DownCNV/PAV	0.635689075
AC220970.4_FG001	chr5	434471	DownCNV/PAV	0.735265895
GRMZM2G013695	chr5	1028280	DownCNV/PAV	0.891041887
GRMZM2G013200	chr5	1041462	DownCNV/PAV	
GRMZM2G701273	chr5	1176888	DownCNV/PAV	0.76872065
GRMZM2G381842	chr5	1181579	DownCNV/PAV	0.695458938
GRMZM2G327443	chr5	1433475	UpCNV	
GRMZM2G053378	chr5	1760448	DownCNV/PAV	
GRMZM2G053387	chr5	1764738	DownCNV/PAV	0.884746331
GRMZM2G138568	chr5	1827909	DownCNV/PAV	
GRMZM2G144024	chr5	2272534	DownCNV/PAV	0.79008056
AC211477.3_FG021	chr5	2291356	DownCNV/PAV	
GRMZM2G002805	chr5	2382025	DownCNV/PAV	0.828640017
GRMZM2G110881	chr5	2597830	DownCNV/PAV	0.687377162
GRMZM2G096165	chr5	3063278	DownCNV/PAV	0.849178235
AC210013.4_FG007	chr5	3326829	DownCNV/PAV	0.320091585
GRMZM2G701295	chr5	3727992	DownCNV/PAV	0.795731232
GRMZM2G054422	chr5	3755046	DownCNV/PAV	
GRMZM2G350471	chr5	3755061	DownCNV/PAV	0.770415532
GRMZM2G152796	chr5	4190343	DownCNV/PAV	0.792240042
GRMZM2G701300	chr5	4329302	UpCNV	
GRMZM2G306062	chr5	4411511	DownCNV/PAV	0.926299217
GRMZM2G124290	chr5	4609208	DownCNV/PAV	0.803670113
GRMZM2G320506	chr5	4659955	DownCNV/PAV	0.89220226
GRMZM2G028188	chr5	4667099	DownCNV/PAV	0.870282606
GRMZM2G028218	chr5	4673794	DownCNV/PAV	0.89538386
GRMZM2G159287	chr5	5010901	DownCNV/PAV	0.75982313
GRMZM2G166811	chr5	5177044	DownCNV/PAV	
GRMZM2G130625	chr5	5303106	DownCNV/PAV	0.880779699
GRMZM2G351716	chr5	5533997	DownCNV/PAV	0.584739965
GRMZM2G351729	chr5	5541140	DownCNV/PAV	0.564686418
GRMZM2G052423	chr5	5790842	DownCNV/PAV	0.642469019
GRMZM2G176085	chr5	6369371	DownCNV/PAV	0.871754718
GRMZM2G077034	chr5	6433382	DownCNV/PAV	0.820359223
GRMZM2G312069	chr5	6496327	DownCNV/PAV	0.900610427
GRMZM2G030821	chr5	6737694	DownCNV/PAV	0.46936187
GRMZM2G086441	chr5	6772517	DownCNV/PAV	0.590757824
GRMZM2G371942	chr5	6856828	DownCNV/PAV	0.322791596
GRMZM2G130065	chr5	7070537	DownCNV/PAV	0.487822367
GRMZM2G129865	chr5	7092705	DownCNV/PAV	0.862699138
GRMZM2G172043	chr5	7200850	DownCNV/PAV	0.868387323
GRMZM2G087435	chr5	7403196	DownCNV/PAV	0.899192982
GRMZM2G350857	chr5	7670904	DownCNV/PAV	0.633304962
GRMZM2G077389	chr5	7724337	DownCNV/PAV	0.744189248
GRMZM2G317610	chr5	7935814	DownCNV/PAV	0.376140911
GRMZM2G401040	chr5	8295284	DownCNV/PAV	
GRMZM2G064042	chr5	8560414	DownCNV/PAV	0.856637116
GRMZM2G075449	chr5	8652335	DownCNV/PAV	
GRMZM2G019945	chr5	8778373	DownCNV/PAV	0.831341008
GRMZM2G129681	chr5	9138535	DownCNV/PAV	
GRMZM2G129700	chr5	9141774	DownCNV/PAV	0.880100335
GRMZM2G461119	chr5	9621086	UpCNV	0.804988002
GRMZM2G396565	chr5	9704229	DownCNV/PAV	0.828062516
GRMZM2G104332	chr5	9766062	DownCNV/PAV	0.859639491
GRMZM2G046055	chr5	9905572	DownCNV/PAV	0.884696644
GRMZM2G701342	chr5	10676985	DownCNV/PAV	0.642857156
GRMZM2G149289	chr5	11008427	DownCNV/PAV	0.520785643
GRMZM2G068984	chr5	11663166	DownCNV/PAV	0.925926843
AC190734.2_FG003	chr5	11802035	DownCNV/PAV	0.77744269
GRMZM2G175826	chr5	11937721	DownCNV/PAV	
AC210961.3_FG005	chr5	12159854	UpCNV	0.724821222
GRMZM2G402213	chr5	12185985	DownCNV/PAV	
GRMZM2G327260	chr5	12498803	DownCNV/PAV	0.675670329
AC213463.3_FG007	chr5	12969615	DownCNV/PAV	0.859804966
AC213463.3_FG003	chr5	13100873	DownCNV/PAV	
GRMZM2G002754	chr5	13348782	DownCNV/PAV	0.685914833
GRMZM2G129140	chr5	13662003	DownCNV/PAV	0.833269211
AC208082.3_FG008	chr5	13911822	DownCNV/PAV	0.657432402
GRMZM2G075415	chr5	14130194	DownCNV/PAV	0.707616122
GRMZM2G017137	chr5	14162001	DownCNV/PAV	0.797190837
GRMZM2G422581	chr5	14483310	DownCNV/PAV	0.693290681
GRMZM2G037146	chr5	15382882	DownCNV/PAV	0.889525966
GRMZM2G157389	chr5	15486347	DownCNV/PAV	0.780403047
GRMZM2G074222	chr5	16046343	DownCNV/PAV	
GRMZM2G165488	chr5	16348676	DownCNV/PAV	0.896882855
AC194338.3_FG008	chr5	16506547	DownCNV/PAV	0.587866805
GRMZM2G417222	chr5	17103673	DownCNV/PAV	0.79772367
GRMZM2G446454	chr5	17904311	DownCNV/PAV	0.882327205
GRMZM2G130076	chr5	18110246	DownCNV/PAV	
GRMZM2G362609	chr5	18279328	DownCNV/PAV	
GRMZM2G105518	chr5	19135749	DownCNV/PAV	0.717674659
GRMZM2G088005	chr5	19333672	UpCNV	0.804380723
GRMZM2G178767	chr5	19439006	DownCNV/PAV	0.742694813
GRMZM2G701395	chr5	20107429	DownCNV/PAV	0.736128507
GRMZM2G132090	chr5	20809345	DownCNV/PAV	0.852903761
GRMZM2G093514	chr5	21277048	DownCNV/PAV	
GRMZM2G463640	chr5	21435584	DownCNV/PAV	0.846141089
GRMZM2G344573	chr5	21705412	DownCNV/PAV	0.724811776
GRMZM2G078097	chr5	21754077	DownCNV/PAV	0.874951195
GRMZM2G422539	chr5	23373334	DownCNV/PAV	0.717004601
GRMZM2G074543	chr5	23436659	DownCNV/PAV	0.829471807
GRMZM2G086450	chr5	23693225	DownCNV/PAV	0.710669031
GRMZM2G338853	chr5	24588144	DownCNV/PAV	0.660427477
GRMZM2G100360	chr5	27969904	DownCNV/PAV	0.663494092
AC233894.1_FG002	chr5	28167742	UpCNV	
GRMZM2G125659	chr5	28198955	DownCNV/PAV	0.892897078
GRMZM2G018336	chr5	28499891	DownCNV/PAV	0.652960985
GRMZM2G041424	chr5	29719458	DownCNV/PAV	0.516064071
GRMZM2G053485	chr5	29753827	DownCNV/PAV	0.712800176
GRMZM2G130580	chr5	31009274	DownCNV/PAV	0.90972282
GRMZM2G046438	chr5	31215903	DownCNV/PAV	0.920799588
GRMZM2G701448	chr5	31566150	DownCNV/PAV	0.824566785
GRMZM2G139028	chr5	31726457	DownCNV/PAV	0.708503384
GRMZM2G465723	chr5	32234031	DownCNV/PAV	0.860932926
GRMZM2G701452	chr5	32888526	DownCNV/PAV	
GRMZM2G137694	chr5	33097191	DownCNV/PAV	0.886928447
GRMZM2G081500	chr5	33193253	DownCNV/PAV	0.710021937
GRMZM2G020823	chr5	34384052	DownCNV/PAV	
GRMZM2G065268	chr5	34907474	DownCNV/PAV	0.912195732
GRMZM2G325208	chr5	35608766	DownCNV/PAV	
GRMZM2G064775	chr5	36074669	DownCNV/PAV	0.908066713
GRMZM2G173596	chr5	36264153	DownCNV/PAV	0.88985053
GRMZM2G087944	chr5	36504006	DownCNV/PAV	0.65726203
GRMZM2G088348	chr5	36609865	DownCNV/PAV	0.68750803
GRMZM2G383472	chr5	36656419	DownCNV/PAV	0.668921202
GRMZM2G357152	chr5	36672189	DownCNV/PAV	0.73239642
GRMZM2G107152	chr5	36986959	DownCNV/PAV	0.640718342
AC234522.1_FG009	chr5	40267888	UpCNV	0.837742366
GRMZM2G012980	chr5	41565405	DownCNV/PAV	0.870057793
GRMZM2G310429	chr5	41625039	DownCNV/PAV	
GRMZM2G069141	chr5	42491502	UpCNV	0.772262049
GRMZM2G370357	chr5	42493915	UpCNV	0.777770045
GRMZM2G152432	chr5	43263574	UpCNV	0.872494265
GRMZM2G143182	chr5	44516953	UpCNV	0.877287458
GRMZM2G057495	chr5	45828295	UpCNV	0.535726957
AC209987.4_FG005	chr5	46142138	DownCNV/PAV	
GRMZM2G701513	chr5	47976409	DownCNV/PAV	
GRMZM2G701522	chr5	50183520	DownCNV/PAV	0.823316713
GRMZM2G054805	chr5	50185440	DownCNV/PAV	0.595426919
GRMZM2G701535	chr5	50460807	DownCNV/PAV	0.537297977
GRMZM2G054745	chr5	50637965	DownCNV/PAV	0.877677872
GRMZM2G142082	chr5	52511802	DownCNV/PAV	
GRMZM2G701548	chr5	52737717	UpCNV	0.692181981
GRMZM2G173311	chr5	53813587	DownCNV/PAV	0.804326524
GRMZM2G456816	chr5	57260509	DownCNV/PAV	0.812405727
GRMZM2G385851	chr5	57654783	DownCNV/PAV	0.63729713
GRMZM2G017847	chr5	58630447	DownCNV/PAV	0.382660312
GRMZM2G050450	chr5	58764806	DownCNV/PAV	0.854718988
AC207107.4_FG002	chr5	61252176	DownCNV/PAV	0.424335781
GRMZM2G132324	chr5	61989642	DownCNV/PAV	0.380464811
GRMZM2G004955	chr5	62059067	DownCNV/PAV	0.840693085
AC215909.3_FG001	chr5	62245203	DownCNV/PAV	
GRMZM2G423518	chr5	62541381	DownCNV/PAV	0.615841996
AC191427.3_FG003	chr5	63008502	DownCNV/PAV	
GRMZM2G103182	chr5	63738030	DownCNV/PAV	0.92198527
GRMZM2G361442	chr5	64081688	DownCNV/PAV	0.731273077
GRMZM2G091595	chr5	64143280	DownCNV/PAV	0.869759556
GRMZM2G116133	chr5	64214622	UpCNV	0.787911582
GRMZM2G040555	chr5	64235854	UpCNV	
GRMZM2G364469	chr5	66345275	DownCNV/PAV	
GRMZM2G177901	chr5	67495037	DownCNV/PAV	0.838441919
GRMZM2G456917	chr5	69346472	DownCNV/PAV	0.700148528
GRMZM2G098438	chr5	69398696	DownCNV/PAV	0.861103547
GRMZM2G165308	chr5	69816693	DownCNV/PAV	0.694702767
GRMZM2G466265	chr5	70047869	DownCNV/PAV	0.747174831
AC196025.3_FG008	chr5	70312623	DownCNV/PAV	0.689114433
AC196025.3_FG009	chr5	70314537	DownCNV/PAV	0.746975912
AC196025.3_FG010	chr5	70318576	DownCNV/PAV	0.407627831
AC196025.3_FG011	chr5	70325783	DownCNV/PAV	0.701272727
AC196025.3_FG013	chr5	70346020	DownCNV/PAV	0.522282034
AC196025.3_FG002	chr5	70381065	DownCNV/PAV	
GRMZM2G064406	chr5	70635773	DownCNV/PAV	0.888434751
GRMZM2G146209	chr5	71193529	DownCNV/PAV	
GRMZM2G039945	chr5	71261904	DownCNV/PAV	
GRMZM2G049609	chr5	73640557	DownCNV/PAV	0.88803455
GRMZM2G309495	chr5	73804694	DownCNV/PAV	0.595141225
GRMZM2G132384	chr5	74273251	DownCNV/PAV	0.861017979
GRMZM2G076265	chr5	74689794	UpCNV	
AC185130.2_FG005	chr5	75373304	Both	0.814583912
GRMZM2G474519	chr5	75405315	Both	0.781827762
GRMZM2G062552	chr5	75773807	DownCNV/PAV	0.870432137
GRMZM2G425559	chr5	77416300	DownCNV/PAV	
AC233959.1_FG003	chr5	79685007	UpCNV	0.748338134
GRMZM2G443332	chr5	81901606	DownCNV/PAV	0.707647397
GRMZM2G387127	chr5	82728120	DownCNV/PAV	0.870827956
GRMZM2G387123	chr5	83226207	DownCNV/PAV	0.709721648
GRMZM2G427468	chr5	84087759	DownCNV/PAV	0.861817187
GRMZM2G147614	chr5	86149496	DownCNV/PAV	0.890236534
GRMZM2G138550	chr5	86599797	DownCNV/PAV	
GRMZM2G560482	chr5	86613167	DownCNV/PAV	0.845481514
GRMZM2G027516	chr5	87252993	DownCNV/PAV	0.71195421
GRMZM2G150864	chr5	88696248	DownCNV/PAV	0.882460842
GRMZM2G469061	chr5	89780267	UpCNV	0.815471627
GRMZM2G462647	chr5	95681993	DownCNV/PAV	0.766627407
GRMZM2G012865	chr5	95844976	DownCNV/PAV	0.841184846
GRMZM2G107759	chr5	95893376	DownCNV/PAV	0.845113492
GRMZM2G701730	chr5	96795480	UpCNV	0.883949984
AC185251.3_FG003	chr5	104983974	UpCNV	
GRMZM2G116411	chr5	108277102	UpCNV	0.857647857
GRMZM2G394300	chr5	110673565	DownCNV/PAV	0.795832266
GRMZM2G701761	chr5	111184369	DownCNV/PAV	0.858705817
GRMZM2G008647	chr5	112311706	UpCNV	0.726014876
GRMZM2G305096	chr5	112314693	DownCNV/PAV	
GRMZM2G386091	chr5	115120955	DownCNV/PAV	
GRMZM2G180901	chr5	120003380	DownCNV/PAV	
GRMZM2G390385	chr5	123136889	DownCNV/PAV	0.610048895
GRMZM2G039463	chr5	123546937	DownCNV/PAV	0.690222599
GRMZM2G340076	chr5	123550979	UpCNV	0.81482275
GRMZM2G124138	chr5	123858248	DownCNV/PAV	
AC233928.1_FG004	chr5	125589869	UpCNV	
GRMZM2G701799	chr5	126381409	DownCNV/PAV	0.780894168
GRMZM2G109638	chr5	127819847	DownCNV/PAV	0.816065827
GRMZM2G132671	chr5	128700551	UpCNV	0.500947205
